Gebietsschlüssel;Gebietsbezeichnung;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §19;Wähler;Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode Wahlbeteiligung;ungültige Erststimmen;gültige Erststimmen;ungültige Erststimmen in %;gültige Erstsstimmen in %;SPD Erststimmen;CDU Erststimmen;GRÜNE Erststimmen;FDP Erststimmen;Linke Erststimmen;FREIE WÄHLER Erststimmen;PIRATEN Erststimmen;NPD Erststimmen;REP Erststimmen;ödp Erststimmen;ALFA Erststimmen;AfD Erststimmen;III. Weg Erststimmen;DIE EINHEIT Erststimmen;FRIEDENSKÄMPFER Erststimmen;Pestemer Erststimmen;Sonstige Erststimmen;;;;;;;;;SPD Erststimmen in %;CDU Erststimmen in %;GRÜNE Erststimmen in %;FDP Erststimmen in %;Linke Erststimmen in %;FREIE WÄHLER Erststimmen in %;PIRATEN Erststimmen in %;NPD Erststimmen in %;REP Erststimmen in %;ödp Erststimmen in %;ALFA Erststimmen in %;AfD Erststimmen in %;III. Weg Erststimmen in %;DIE EINHEIT Erststimmen in %;FRIEDENSKÄMPFER Erststimmen in %;Pestemer Erststimmen in %;Sonstige Erststimmen in %;;;;;;;;;ungültige Zweitstimmen;gültige Zweitstimmen;ungültige Zweitstimmen in %;gültige Zweitstimmen in %;SPD Zweitstimmen;CDU Zweitstimmen;GRÜNE Zweitstimmen;FDP Zweitstimmen;Linke Zweitstimmen;FREIE WÄHLER Zweitstimmen;PIRATEN Zweitstimmen;NPD Zweitstimmen;REP Zweitstimmen;ödp Zweitstimmen;ALFA Zweitstimmen;AfD Zweitstimmen;III. Weg Zweitstimmen;DIE EINHEIT Zweitstimmen;FRIEDENSKÄMPFER Zweitstimmen;Pestemer Zweitstimmen;Sonstige Zweitstimmen;;;;;;;;;SPD Zweitstimmen in %;CDU Zweitstimmen in %;GRÜNE Zweitstimmen in %;FDP Zweitstimmen in %;Linke Zweitstimmen in %;FREIE WÄHLER Zweitstimmen in %;PIRATEN Zweitstimmen in %;NPD Zweitstimmen in %;REP Zweitstimmen in %;ödp Zweitstimmen in %;ALFA Zweitstimmen in %;AfD Zweitstimmen in %;III. Weg Zweitstimmen in %;DIE EINHEIT Zweitstimmen in %;FRIEDENSKÄMPFER Zweitstimmen in %;Pestemer Zweitstimmen in %;Sonstige Zweitstimmen in %;;;;;;;;;Gewählter Direktkandidat;Partei des Direktkandidaten;Anzahl Stimmbezirke;Anzahl ausgezählter Stimmbezirke;Zeitpunkt der letzten Änderung
0000000000000;Landesergebnis Rheinland-Pfalz;3071972;2377889;694010;73;2161506;662136;70,4;2;55461;2106045;2,6;97,4;759264;733764;135722;143850;77341;84945;5385;2602;638;7770;6066;147699;;;628;371;;;;;;;;;;36,1;34,8;6,4;6,8;3,7;4;0,3;0,1;0;0,4;0,3;7;;;0;0;;;;;;;;;;30885;2130621;1,4;98,6;771848;677507;113261;132294;59970;47924;16708;10565;5090;8623;13154;268628;1944;3105;;;;;;;;;;;;36,2;31,8;5,3;6,2;2,8;2,2;0,8;0,5;0,2;0,4;0,6;12,6;0,1;0,1;;;;;;;;;;;;;;4824;4824;22.03.2016 08:57:52
0001110000000;Koblenz, Kreisfreie Stadt;84900;63350;21547;3;57310;20596;67,5;2;1030;56280;1,8;98,2;20022;18212;4778;3687;2399;2572;643;;;;345;3622;;;;;;;;;;;;;;35,6;32,4;8,5;6,6;4,3;4,6;1,1;;;;0,6;6,4;;;;;;;;;;;;;;609;56701;1,1;98,9;19881;18353;4186;3941;2246;1244;690;231;60;200;238;5336;14;81;;;;;;;;;;;;35,1;32,4;7,4;7;4;2,2;1,2;0,4;0,1;0,4;0,4;9,4;0;0,1;;;;;;;;;;;;;;148;148;15.03.2016 09:40:22
0001310000000;Ahrweiler, Landkreis;100264;77622;22641;1;68491;21695;68,3;2;1683;66808;2,5;97,5;18153;30033;6190;5504;2393;;;;;1256;;3279;;;;;;;;;;;;;;27,2;45;9,3;8,2;3,6;;;;;1,9;;4,9;;;;;;;;;;;;;;834;67657;1,2;98,8;19752;27675;4032;4689;1628;1154;545;287;65;423;452;6911;20;24;;;;;;;;;;;;29,2;40,9;6;6,9;2,4;1,7;0,8;0,4;0,1;0,6;0,7;10,2;0;0;;;;;;;;;;;;;;153;153;16.03.2016 17:36:03
0001310100000;Adenau, VG;10550;8720;1830;0;7475;1745;70,9;2;274;7201;3,7;96,3;1437;3991;300;752;259;;;;;462;;;;;;;;;;;;;;;;20;55,4;4,2;10,4;3,6;;;;;6,4;;;;;;;;;;;;;;;;136;7339;1,8;98,2;1590;3754;248;605;161;81;53;20;12;133;32;648;1;1;;;;;;;;;;;;21,7;51,2;3,4;8,2;2,2;1,1;0,7;0,3;0,2;1,8;0,4;8,8;0;0;;;;;;;;;;;;;;42;42;16.03.2016 12:12:53
0001310200000;Altenahr, VG;8830;6638;2192;0;6343;2107;71,8;2;199;6144;3,1;96,9;1325;3425;505;469;231;;;;;189;;;;;;;;;;;;;;;;21,6;55,7;8,2;7,6;3,8;;;;;3,1;;;;;;;;;;;;;;;;84;6259;1,3;98,7;1566;2991;346;399;134;77;45;21;2;47;35;590;4;2;;;;;;;;;;;;25;47,8;5,5;6,4;2,1;1,2;0,7;0,3;0;0,8;0,6;9,4;0,1;0;;;;;;;;;;;;;;17;17;16.03.2016 13:11:16
0001310300000;Bad Breisig, VG;10063;7757;2306;0;6514;2199;64,7;2;100;6414;1,5;98,5;1968;2571;474;458;167;;;;;;;776;;;;;;;;;;;;;;30,7;40,1;7,4;7,1;2,6;;;;;;;12,1;;;;;;;;;;;;;;70;6444;1,1;98,9;2058;2387;345;399;138;132;65;28;6;19;29;834;1;3;;;;;;;;;;;;31,9;37;5,4;6,2;2,1;2;1;0,4;0,1;0,3;0,5;12,9;0;0;;;;;;;;;;;;;;14;14;16.03.2016 17:36:03
0001310400000;Brohltal, VG;14693;11313;3380;0;10478;3246;71,3;2;164;10314;1,6;98,4;3651;4179;710;588;313;;;;;;;873;;;;;;;;;;;;;;35,4;40,5;6,9;5,7;3;;;;;;;8,5;;;;;;;;;;;;;;104;10374;1;99;3340;4206;513;558;252;317;95;54;11;32;48;943;1;4;;;;;;;;;;;;32,2;40,5;4,9;5,4;2,4;3,1;0,9;0,5;0,1;0,3;0,5;9,1;0;0;;;;;;;;;;;;;;25;25;14.03.2016 11:49:42
0001320000000;Altenkirchen, Landkreis;100688;80762;19922;4;66519;18879;66,1;2;2436;64083;3,7;96,3;22613;26424;3425;5282;3024;2210;1105;;;;;;;;;;;;;;;;;;;35,3;41,2;5,3;8,2;4,7;3,4;1,7;;;;;;;;;;;;;;;;;;;883;65636;1,3;98,7;22113;23267;2806;3980;1809;1095;513;316;142;190;377;8910;39;79;;;;;;;;;;;;33,7;35,4;4,3;6,1;2,8;1,7;0,8;0,5;0,2;0,3;0,6;13,6;0,1;0,1;;;;;;;;;;;;;;175;175;17.03.2016 15:59:53
0001320100000;Altenkirchen (Westerwald), VG;17415;14483;2932;0;11319;2799;65;2;360;10959;3,2;96,8;4126;3543;799;1106;484;604;297;;;;;;;;;;;;;;;;;;;37,6;32,3;7,3;10,1;4,4;5,5;2,7;;;;;;;;;;;;;;;;;;;138;11181;1,2;98,8;4431;3041;606;763;365;199;105;49;20;36;66;1465;9;26;;;;;;;;;;;;39,6;27,2;5,4;6,8;3,3;1,8;0,9;0,4;0,2;0,3;0,6;13,1;0,1;0,2;;;;;;;;;;;;;;47;47;15.03.2016 10:41:09
0001320200000;Betzdorf, VG;11233;9003;2230;0;7400;2162;65,9;2;283;7117;3,8;96,2;2672;3185;306;608;346;;;;;;;;;;;;;;;;;;;;;37,5;44,8;4,3;8,5;4,9;;;;;;;;;;;;;;;;;;;;;106;7294;1,4;98,6;2483;2724;300;437;186;86;52;32;26;15;29;920;2;2;;;;;;;;;;;;34;37,3;4,1;6;2,6;1,2;0,7;0,4;0,4;0,2;0,4;12,6;0;0;;;;;;;;;;;;;;14;14;13.03.2016 19:56:02
0001320300000;Herdorf-Daaden, VG;14022;11893;2128;1;9273;2049;66,1;2;480;8793;5,2;94,8;3776;3150;347;938;582;;;;;;;;;;;;;;;;;;;;;42,9;35,8;3,9;10,7;6,6;;;;;;;;;;;;;;;;;;;;;174;9099;1,9;98,1;3164;2893;301;632;265;117;53;46;13;26;64;1512;5;8;;;;;;;;;;;;34,8;31,8;3,3;6,9;2,9;1,3;0,6;0,5;0,1;0,3;0,7;16,6;0,1;0,1;;;;;;;;;;;;;;20;20;13.03.2016 19:53:08
0001320400000;Flammersfeld, VG;9370;7417;1953;0;6440;1866;68,7;2;214;6226;3,3;96,7;1779;2808;401;456;220;347;215;;;;;;;;;;;;;;;;;;;28,6;45,1;6,4;7,3;3,5;5,6;3,5;;;;;;;;;;;;;;;;;;;74;6366;1,1;98,9;1973;2434;313;366;146;112;73;52;16;21;19;830;3;8;;;;;;;;;;;;31;38,2;4,9;5,7;2,3;1,8;1,1;0,8;0,3;0,3;0,3;13;0;0,1;;;;;;;;;;;;;;26;26;14.03.2016 10:50:41
0001320500000;Gebhardshain, VG;8659;6603;2056;0;6174;1966;71,3;2;194;5980;3,1;96,9;1446;3174;209;382;186;434;149;;;;;;;;;;;;;;;;;;;24,2;53,1;3,5;6,4;3,1;7,3;2,5;;;;;;;;;;;;;;;;;;;58;6116;0,9;99,1;1568;2811;174;347;142;149;42;24;12;15;39;789;1;3;;;;;;;;;;;;25,6;46;2,8;5,7;2,3;2,4;0,7;0,4;0,2;0,2;0,6;12,9;0;0;;;;;;;;;;;;;;12;12;13.03.2016 20:11:47
0001320600000;Hamm (Sieg), VG;9394;7752;1642;0;5981;1560;63,7;2;191;5790;3,2;96,8;2176;1969;352;366;307;407;213;;;;;;;;;;;;;;;;;;;37,6;34;6,1;6,3;5,3;7;3,7;;;;;;;;;;;;;;;;;;;70;5911;1,2;98,8;2274;1559;280;287;182;118;51;35;13;19;32;1040;3;18;;;;;;;;;;;;38,5;26,4;4,7;4,9;3,1;2;0,9;0,6;0,2;0,3;0,5;17,6;0,1;0,3;;;;;;;;;;;;;;14;14;14.03.2016 12:03:26
0001320700000;Kirchen (Sieg), VG;18715;14675;4039;1;12194;3848;65,2;2;485;11709;4;96;4595;4866;609;1019;620;;;;;;;;;;;;;;;;;;;;;39,2;41,6;5,2;8,7;5,3;;;;;;;;;;;;;;;;;;;;;176;12018;1,4;98,6;4039;4495;504;754;344;129;76;57;32;49;92;1425;12;10;;;;;;;;;;;;33,6;37,4;4,2;6,3;2,9;1,1;0,6;0,5;0,3;0,4;0,8;11,9;0,1;0,1;;;;;;;;;;;;;;23;23;17.03.2016 15:59:53
0001320800000;Wissen, VG;11880;8936;2942;2;7738;2629;65,1;2;229;7509;3;97;2043;3729;402;407;279;418;231;;;;;;;;;;;;;;;;;;;27,2;49,7;5,4;5,4;3,7;5,6;3,1;;;;;;;;;;;;;;;;;;;87;7651;1,1;98,9;2181;3310;328;394;179;185;61;21;10;9;36;929;4;4;;;;;;;;;;;;28,5;43,3;4,3;5,1;2,3;2,4;0,8;0,3;0,1;0,1;0,5;12,1;0,1;0,1;;;;;;;;;;;;;;19;19;13.03.2016 20:32:25
0001330000000;Bad Kreuznach, Landkreis;120403;92524;27871;8;86476;26759;71,8;2;1905;84571;2,2;97,8;32756;31917;3815;4520;2694;3661;;;;;1147;4061;;;;;;;;;;;;;;38,7;37,7;4,5;5,3;3,2;4,3;;;;;1,4;4,8;;;;;;;;;;;;;;1150;85326;1,3;98,7;33152;28230;3689;5092;2158;1646;427;308;124;194;446;9704;61;95;;;;;;;;;;;;38,9;33,1;4,3;6;2,5;1,9;0,5;0,4;0,1;0,2;0,5;11,4;0,1;0,1;;;;;;;;;;;;;;176;176;17.03.2016 15:46:39
0001330100000;Bad Kreuznach, VG;7201;5624;1577;0;5596;1523;77,7;2;107;5489;1,9;98,1;2126;2386;160;255;134;290;;;;;138;;;;;;;;;;;;;;;38,7;43,5;2,9;4,6;2,4;5,3;;;;;2,5;;;;;;;;;;;;;;;59;5537;1,1;98,9;2052;1985;223;372;96;128;23;22;10;12;39;573;1;1;;;;;;;;;;;;37,1;35,8;4;6,7;1,7;2,3;0,4;0,4;0,2;0,2;0,7;10,3;0;0;;;;;;;;;;;;;;9;9;17.03.2016 15:46:39
0001330200000;Bad Münster am Stein Ebernburg, VG;5934;4293;1641;0;4757;1593;80,2;2;111;4646;2,3;97,7;1794;1941;189;262;143;235;;;;;82;;;;;;;;;;;;;;;38,6;41,8;4,1;5,6;3,1;5,1;;;;;1,8;;;;;;;;;;;;;;;41;4716;0,9;99,1;1874;1558;188;303;99;92;22;10;7;11;27;521;2;2;;;;;;;;;;;;39,7;33;4;6,4;2,1;2;0,5;0,2;0,1;0,2;0,6;11;0;0;;;;;;;;;;;;;;9;9;13.03.2016 20:09:53
0001330300000;Kirn-Land, VG;7932;6457;1475;0;6099;1419;76,9;2;106;5993;1,7;98,3;2772;1591;184;395;167;212;;;;;;672;;;;;;;;;;;;;;46,3;26,5;3,1;6,6;2,8;3,5;;;;;;11,2;;;;;;;;;;;;;;83;6016;1,4;98,6;2802;1633;183;276;147;124;23;34;10;11;12;742;9;10;;;;;;;;;;;;46,6;27,1;3;4,6;2,4;2,1;0,4;0,6;0,2;0,2;0,2;12,3;0,1;0,2;;;;;;;;;;;;;;22;22;14.03.2016 11:45:31
0001330400000;Langenlonsheim, VG;10511;7424;3087;0;7982;2977;75,9;2;181;7801;2,3;97,7;2617;3662;363;364;224;396;;;;;175;;;;;;;;;;;;;;;33,5;46,9;4,7;4,7;2,9;5,1;;;;;2,2;;;;;;;;;;;;;;;96;7886;1,2;98,8;2747;2949;360;562;174;145;41;23;13;19;34;810;2;7;;;;;;;;;;;;34,8;37,4;4,6;7,1;2,2;1,8;0,5;0,3;0,2;0,2;0,4;10,3;0;0,1;;;;;;;;;;;;;;8;8;14.03.2016 14:09:18
0001330500000;Meisenheim, VG;6410;4898;1511;1;4613;1451;72;2;95;4518;2,1;97,9;2056;1235;195;240;102;115;;;;;;575;;;;;;;;;;;;;;45,5;27,3;4,3;5,3;2,3;2,5;;;;;;12,7;;;;;;;;;;;;;;70;4543;1,5;98,5;2024;1197;174;255;96;66;27;19;4;10;16;648;5;2;;;;;;;;;;;;44,6;26,3;3,8;5,6;2,1;1,5;0,6;0,4;0,1;0,2;0,4;14,3;0,1;0;;;;;;;;;;;;;;19;19;14.03.2016 11:10:40
0001330600000;Rüdesheim, VG;19839;15089;4749;1;15727;4578;79,3;2;341;15386;2,2;97,8;5581;6069;750;768;292;541;;;;;;1385;;;;;;;;;;;;;;36,3;39,4;4,9;5;1,9;3,5;;;;;;9;;;;;;;;;;;;;;222;15505;1,4;98,6;5731;5964;613;791;248;341;63;49;27;37;71;1551;10;9;;;;;;;;;;;;37;38,5;4;5,1;1,6;2,2;0,4;0,3;0,2;0,2;0,5;10;0,1;0,1;;;;;;;;;;;;;;27;27;15.03.2016 11:48:39
0001330700000;Bad Sobernheim, VG;13750;10186;3564;0;10304;3331;74,9;2;217;10087;2,1;97,9;4434;2970;646;504;220;329;;;;;;984;;;;;;;;;;;;;;44;29,4;6,4;5;2,2;3,3;;;;;;9,8;;;;;;;;;;;;;;155;10149;1,5;98,5;4329;3043;465;517;208;224;62;43;19;20;41;1161;12;5;;;;;;;;;;;;42,7;30;4,6;5,1;2;2,2;0,6;0,4;0,2;0,2;0,4;11,4;0,1;0;;;;;;;;;;;;;;27;27;14.03.2016 12:23:19
0001330800000;Stromberg, VG;7391;5739;1652;0;5677;1608;76,8;2;149;5528;2,6;97,4;1879;2410;261;286;235;310;;;;;147;;;;;;;;;;;;;;;34;43,6;4,7;5,2;4,3;5,6;;;;;2,7;;;;;;;;;;;;;;;96;5581;1,7;98,3;1932;1929;266;351;166;118;36;25;9;15;32;693;7;2;;;;;;;;;;;;34,6;34,6;4,8;6,3;3;2,1;0,6;0,4;0,2;0,3;0,6;12,4;0,1;0;;;;;;;;;;;;;;12;12;13.03.2016 21:05:43
0001340000000;Birkenfeld, Landkreis;65000;53311;11687;2;43223;11100;66,5;2;1140;42083;2,6;97,4;16277;12212;2754;3084;1345;1195;;;;;;4588;;;628;;;;;;;;;;;38,7;29;6,5;7,3;3,2;2,8;;;;;;10,9;;;1,5;;;;;;;;;;;702;42521;1,6;98,4;16673;13355;1514;2604;1246;775;267;231;79;88;159;5430;32;68;;;;;;;;;;;;39,2;31,4;3,6;6,1;2,9;1,8;0,6;0,5;0,2;0,2;0,4;12,8;0,1;0,2;;;;;;;;;;;;;;147;147;16.03.2016 09:37:26
0001340100000;Baumholder, VG;7267;5974;1292;1;5016;1238;69;2;247;4769;4,9;95,1;2034;1357;180;252;124;243;;;;;;486;;;93;;;;;;;;;;;42,7;28,5;3,8;5,3;2,6;5,1;;;;;;10,2;;;2;;;;;;;;;;;130;4886;2,6;97,4;1987;1578;125;205;106;170;28;25;12;10;25;605;1;9;;;;;;;;;;;;40,7;32,3;2,6;4,2;2,2;3,5;0,6;0,5;0,2;0,2;0,5;12,4;0;0,2;;;;;;;;;;;;;;19;19;15.03.2016 14:43:13
